No.,Original release date,Original ISBN,English release date,English ISBN
1,"September 23, 2016[56]",978-4-04-068550-2,"February 22, 2022[57]",978-1-63858-130-7
2,"January 23, 2017[58]",978-4-04-069039-1,"May 10, 2022[59]",978-1-63858-242-7
3,"March 23, 2017[60]",978-4-04-069120-6,"August 16, 2022[61]",978-1-63858-599-2
4,"July 22, 2017[62]",978-4-04-069303-3,"November 1, 2022[63]",978-1-63858-772-9
5,"November 22, 2017[64]",978-4-04-069532-7,"February 21, 2023[65]",978-1-63858-964-8
6,"April 23, 2018[66]",978-4-04-069747-5,"May 23, 2023[67]",978-1-68579-511-5
7,"November 21, 2018[68]",978-4-04-065321-1,"August 22, 2023[69]",978-1-68579-548-1
8,"June 22, 2019[70]",978-4-04-065704-2,"November 7, 2023[71]",979-8-88843-038-5
9,"January 23, 2020[72]",978-4-04-064297-0,—,—
10,"August 20, 2020[73]",978-4-04-064789-0,—,—
11,"June 23, 2021[74]",978-4-04-680382-5,—,—
12,"February 22, 2022[75]",978-4-04-681125-7,—,—
